ProductName,Stars,Rating,CurrentPrice,ImageURL 
Inno3D NVIDIA GEFORCE RTX 3080 X3 OC LHR 10 GB GDDR6X G...,4.7,3,₹101403,https://rukminim1.flixcart.com/image/612/612/l0lbrm80/graphics-card/e/a/q/geforce-rtx-3080-x3-oc-lhr-inno3d-original-imagcbrm7jnm8hzu.jpeg?q=70
GALAX NVIDIA NVIDIA GEFORCE GT 710 2GB GDDR3,0,0,₹4498,https://rukminim1.flixcart.com/image/612/612/kvr01ow0/graphics-card/d/u/r/nvidia-geforce-gt-710-2gb-gddr3-graphics-card-black-galax-original-imag8ksghr5gmdjf.jpeg?q=70
Gamers Choice NVIDIA Geforce (GC-GT730-4D3) 4 GB DDR3 G...,4,3,₹5999,https://rukminim1.flixcart.com/image/612/612/kzogn0w0/graphics-card/z/u/7/geforce-gc-gt730-4d5-gamers-chioce-original-imagbmraw8pzmktr.jpeg?q=70
ZOTAC NVIDIA RTX 3050 Twin Edge OC 8 GB GDDR6,0,0,₹35000,https://rukminim1.flixcart.com/image/612/612/kz1lle80/graphics-card/n/n/g/rtx-3050-twin-edge-oc-zotac-original-imagb4fz5nrh3z3p.jpeg?q=70
MSI NVIDIA GeForce RTX 3050 VENTUS 2X 8G OC 8 GB GDDR6 ...,0,0,₹50005,https://rukminim1.flixcart.com/image/612/612/kz4gh3k0/graphics-card/a/z/0/geforce-rtx-3050-ventus-2x-8g-oc-msi-original-imagb7fzmnht3grc.jpeg?q=70
Colorful NVIDIA iGame Ultra 8 GB GDDR6,0,0,₹38499,https://rukminim1.flixcart.com/image/612/612/l37mtu80/graphics-card/l/c/m/igame-ultra-colorful-original-imagedpf7nsztmh6.jpeg?q=70
MSI NVIDIA GeForce RTX 3090 GAMING X TRIO 24G 24 GB GDD...,0,0,₹187261,https://rukminim1.flixcart.com/image/612/612/l0pm3680/graphics-card/j/g/5/geforce-rtx-3090-gaming-x-trio-24g-msi-original-imagcfsjbdamqqye.jpeg?q=70
ZEBRONICS NVIDIA GT730 4 GB DDR3,3.7,6,₹8000,https://rukminim1.flixcart.com/image/612/612/kwdv3bk0/graphics-card/d/z/0/gt730-zebronics-original-imag92vdy6exeamu.jpeg?q=70
MSI NVIDIA GeForce GT 730 4GB DDR3 OCV1 GRAPHIC CARD 4 ...,0,0,₹8499,https://rukminim1.flixcart.com/image/612/612/kziqvm80/graphics-card/a/r/d/geforce-gt-730-4gb-ddr3-ocv1-graphic-card-msi-original-imagbgbfaxnkk5g4.jpeg?q=70
MSI NVIDIA RTX 3070 GAMING 8 GB GDDR6,0,0,₹80214,https://rukminim1.flixcart.com/image/612/612/kqpj4i80/graphics-card/s/w/y/geforce-rtx-3070-gaming-z-trio-256-bit-l-pci-express-gen-4-8gb-original-imag4nyxgbjn2jyt.jpeg?q=70
MSI AMD/ATI Radeon RX 6600 ARMOR 8G 8 GB GDDR6,5,3,₹41621,https://rukminim1.flixcart.com/image/612/612/kz4gh3k0/graphics-card/j/g/g/radeon-rx-6600-armor-8g-msi-original-imagb7fzzzpgwjav.jpeg?q=70
